hour_utc,n,win_rate,avg_edge_pp,pnl_real_total,pnl_real_per_trade
0,417,0.5635491606714629,9.0331,26.8852,0.0645
1,393,0.5318066157760815,8.6051,15.2291,0.0388
2,392,0.548469387755102,8.2822,21.892,0.0558
3,395,0.5113924050632911,8.2531,11.478,0.0291
4,408,0.5392156862745098,8.2498,22.7983,0.0559
5,463,0.6004319654427646,8.5167,52.3866,0.1131
6,445,0.5123595505617977,8.2795,10.2847,0.0231
7,513,0.5048732943469786,8.8132,12.8896,0.0251
8,494,0.5708502024291497,8.7835,37.8002,0.0765
9,509,0.5265225933202358,8.0531,19.7523,0.0388
10,468,0.5042735042735043,8.4093,9.0713,0.0194
11,491,0.5437881873727087,8.0788,26.9003,0.0548
12,546,0.521978021978022,8.4816,15.03,0.0275
13,594,0.5707070707070707,8.2792,38.139,0.0642
14,576,0.5364583333333334,8.9407,20.2548,0.0352
15,558,0.553763440860215,8.2686,36.8178,0.066
16,562,0.5231316725978647,8.6847,21.1756,0.0377
17,542,0.525830258302583,8.5109,16.0343,0.0296
18,510,0.5254901960784314,8.342,14.8105,0.029
19,492,0.5670731707317073,8.5166,34.2441,0.0696
20,494,0.5263157894736842,8.2493,14.4487,0.0292
21,465,0.4666666666666667,8.4119,-12.0557,-0.0259
22,429,0.5617715617715617,10.108,25.1905,0.0587
23,405,0.4740740740740741,8.848,-7.4766,-0.0185
